id,Term,Classification_level1,Classification_level2,ListHits,ListTotal,PopHits,PopTotal,p-value,q-value,Enrichment_score,geneID,hyperlink_only_excel
rno05135,Yersinia infection,Human Diseases,Infectious disease: bacterial,1,82,135,9012,0.711567463,0.793281421,0.814092141,Fn1,rno05135
rno05140,Leishmaniasis,Human Diseases,Infectious disease: parasitic,2,82,71,9012,0.136234918,0.630687413,3.095843353,Ptgs2;Itgam,rno05140
rno05143,African trypanosomiasis,Human Diseases,Infectious disease: parasitic,3,82,40,9012,0.005629769,0.074486176,8.242682927,Hba-a2;Prkcg;Hbb-b1,rno05143
rno05144,Malaria,Human Diseases,Infectious disease: parasitic,2,82,55,9012,0.089166714,0.493575008,3.996452328,Hba-a2;Hbb-b1,rno05144
rno05145,Toxoplasmosis,Human Diseases,Infectious disease: parasitic,2,82,109,9012,0.261160422,0.721007073,2.016558514,Lamc2;Lama3,rno05145
rno05146,Amoebiasis,Human Diseases,Infectious disease: parasitic,9,82,96,9012,1.87E-07,1.60E-05,10.30335366,Lamc2;Lama3;Serpinb10;Prkcg;Col3a1;Col4a2;Col4a1;Itgam;Fn1,rno05146
rno05150,Staphylococcus aureus infection,Human Diseases,Infectious disease: bacterial,4,82,98,9012,0.012047111,0.115116836,4.485813838,C4b;Krt18;Itgam;C4a,rno05150
rno05152,Tuberculosis,Human Diseases,Infectious disease: bacterial,1,82,176,9012,0.803019312,0.846441548,0.624445676,Itgam,rno05152
rno05161,Hepatitis B,Human Diseases,Infectious disease: viral,1,82,156,9012,0.762693073,0.820603377,0.704502814,Prkcg,rno05161
rno05163,Human cytomegalovirus infection,Human Diseases,Infectious disease: viral,2,82,244,9012,0.65567968,0.771296408,0.900839664,Prkcg;Ptgs2,rno05163
rno05164,Influenza A,Human Diseases,Infectious disease: viral,1,82,168,9012,0.787773112,0.836401081,0.654181185,Pabpn1,rno05164
rno05165,Human papillomavirus infection,Human Diseases,Infectious disease: viral,11,82,349,9012,0.000298249,0.006458152,3.463973723,Lamc2;Lama3;Itga2b;Reln;Itga2;Ptgs2;Spp1;Col4a2;Col4a1;Itgb6;Fn1,rno05165
rno05166,Human T-cell leukemia virus 1 infection,Human Diseases,Infectious disease: viral,1,82,246,9012,0.897702659,0.902952382,0.446757882,Il15,rno05166
rno05167,Kaposi sarcoma-associated herpesvirus infection,Human Diseases,Infectious disease: viral,1,82,212,9012,0.859277715,0.879736708,0.518407731,Ptgs2,rno05167
rno05168,Herpes simplex virus 1 infection,Human Diseases,Infectious disease: viral,1,82,381,9012,0.971518295,0.971518295,0.288457845,Pou2f3,rno05168
rno05170,Human immunodeficiency virus 1 infection,Human Diseases,Infectious disease: viral,1,82,228,9012,0.87886931,0.889208949,0.482028241,Prkcg,rno05170
rno05171,Coronavirus disease - COVID-19,Human Diseases,Infectious disease: viral,3,82,286,9012,0.485251203,0.745373323,1.152822787,C4b;Prkcg;C4a,rno05171
rno05200,Pathways in cancer,Human Diseases,Cancer: overview,14,82,533,9012,0.000285177,0.006458152,2.886743239,Lamc2;Lama3;Mmp2;Rasgrp2;Il15;Itga2b;Gstt3;Itga2;Prkcg;Ptgs2;Col4a2;Col4a1;Fn1;Csf2rb,rno05200
rno05202,Transcriptional misregulation in cancer,Human Diseases,Cancer: overview,1,82,189,9012,0.825518831,0.855356861,0.581494386,Itgam,rno05202
rno05204,Chemical carcinogenesis - DNA adducts,Human Diseases,Cancer: overview,2,82,76,9012,0.15190011,0.669918435,2.892169448,Gstt3;Ptgs2,rno05204
rno05205,Proteoglycans in cancer,Human Diseases,Cancer: overview,5,82,203,9012,0.037303434,0.278964813,2.706956626,Mmp2;Ank1;Itga2;Prkcg;Fn1,rno05205
rno05206,MicroRNAs in cancer,Human Diseases,Cancer: overview,2,82,164,9012,0.441821552,0.745373323,1.340273647,Prkcg;Ptgs2,rno05206
rno05207,Chemical carcinogenesis - receptor activation,Human Diseases,Cancer: overview,2,82,213,9012,0.581287237,0.745373323,1.031947784,Gstt3;Prkcg,rno05207
rno05208,Chemical carcinogenesis - reactive oxygen species,Human Diseases,Cancer: overview,4,82,231,9012,0.158674307,0.682299521,1.903072537,Slc26a9;Ndufa10l1;Gstt3;Cox7a1,rno05208
rno05210,Colorectal cancer,Human Diseases,Cancer: specific types,2,82,88,9012,0.190758563,0.698535951,2.497782705,Ereg;Areg,rno05210
rno05214,Glioma,Human Diseases,Cancer: specific types,1,82,74,9012,0.492964209,0.745373323,1.485168095,Prkcg,rno05214
rno05219,Bladder cancer,Human Diseases,Cancer: specific types,1,82,41,9012,0.313125564,0.721007073,2.680547293,Mmp2,rno05219
rno05221,Acute myeloid leukemia,Human Diseases,Cancer: specific types,1,82,68,9012,0.464147047,0.745373323,1.616212339,Itgam,rno05221
rno05222,Small cell lung cancer,Human Diseases,Cancer: specific types,8,82,91,9012,1.53E-06,7.80E-05,9.661752881,Lamc2;Lama3;Itga2b;Itga2;Ptgs2;Col4a2;Col4a1;Fn1,rno05222
rno05223,Non-small cell lung cancer,Human Diseases,Cancer: specific types,1,82,73,9012,0.488269963,0.745373323,1.505512863,Prkcg,rno05223
rno05225,Hepatocellular carcinoma,Human Diseases,Cancer: specific types,2,82,177,9012,0.481287159,0.745373323,1.241835469,Gstt3;Prkcg,rno05225
rno05231,Choline metabolism in cancer,Human Diseases,Cancer: overview,1,82,98,9012,0.593698519,0.745373323,1.121453459,Prkcg,rno05231
rno05310,Asthma,Human Diseases,Immune disease,1,82,26,9012,0.211787928,0.698535951,4.227016886,Ccl11,rno05310
rno05322,Systemic lupus erythematosus,Human Diseases,Immune disease,2,82,116,9012,0.284838839,0.721007073,1.894869638,C4b;C4a,rno05322
rno05323,Rheumatoid arthritis,Human Diseases,Immune disease,1,82,86,9012,0.546083481,0.745373323,1.277935337,Il15,rno05323
rno05410,Hypertrophic cardiomyopathy,Human Diseases,Cardiovascular disease,3,82,91,9012,0.049837806,0.329696255,3.62315733,Itga2b;Itga2;Itgb6,rno05410
rno05412,Arrhythmogenic right ventricular cardiomyopathy,Human Diseases,Cardiovascular disease,4,82,77,9012,0.005208495,0.074486176,5.709217612,Gja1;Itga2b;Itga2;Itgb6,rno05412
rno05414,Dilated cardiomyopathy,Human Diseases,Cardiovascular disease,3,82,94,9012,0.053949294,0.343676983,3.50752465,Itga2b;Itga2;Itgb6,rno05414
rno05415,Diabetic cardiomyopathy,Human Diseases,Cardiovascular disease,6,82,210,9012,0.012016642,0.115116836,3.140069686,Mmp2;Slc2a4;Ndufa10l1;Prkcg;Col3a1;Cox7a1,rno05415
rno05417,Lipid and atherosclerosis,Human Diseases,Cardiovascular disease,1,82,208,9012,0.853909671,0.879475828,0.528377111,Pou2f3,rno05417
rno05418,Fluid shear stress and atherosclerosis,Human Diseases,Cardiovascular disease,4,82,149,9012,0.046594467,0.320569931,2.950401048,Mmp2;Itga2b;Gstt3;Klf2,rno05418
