"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05410","Hypertrophic cardiomyopathy",52,0.480603247443844,2.38387997838716,1.37946480504681e-06,3.363771870768e-05,2.16693256825167e-05,1360,"tags=50%, list=17%, signal=42%","ACTB/TPM2/TPM1/ITGB1/TPM4/ITGA8/SGCA/ITGA5/ITGA1/ITGA7/ITGA10/SGCD/ITGAV/DMD/DES/ATP2A2/AGT/ITGB8/TGFB3/ITGB4/PRKAG2/ACTC1/PRKAG1/ITGA3/TGFB2/ITGB5"
"hsa05016","Huntington disease",91,0.385252697272139,2.20218018658529,2.46033271530219e-06,5.57089621964852e-05,3.58875599074154e-05,1487,"tags=45%, list=19%, signal=37%","TGM2/TUBA1B/TUBA1A/TUBB/ATP5F1E/TUBB6/ATP5PF/CREB5/TUBB4B/CYCS/ATP5F1B/ATP5PO/ATP5MC3/SEM1/ATP5MC2/ATP5F1D/GPX3/PSMC4/TUBB2A/POLR2J2/CLTC/TUBA4A/CREB3L2/SP1/WIPI1/ATP5F1A/PSMD12/ITPR1/ATP5PB/PSMA5/REST/ATP5PD/ATP5MC1/RB1CC1/CASP3/TUBA1C/PLCB1/SLC25A5/SIN3A/HIP1/ATG14"
"hsa00190","Oxidative phosphorylation",24,0.619990291566966,2.46311683269406,5.10184703125592e-06,0.000107819033927208,6.94567244956946e-05,1861,"tags=79%, list=24%, signal=61%","ATP6V0C/ATP5F1E/ATP5PF/ATP5ME/ATP5MF/ATP5MG/CYCS/ATP5F1B/ATP5PO/ATP5MC3/ATP5MC2/ATP5F1D/ATP5F1A/ATP5PB/ATP5PD/ATP5MC1/ATP6V0A1/ATP6V1B2/NDUFA4L2"
"hsa05210","Colorectal cancer",52,0.463170208014474,2.29740891544878,5.78544827705876e-06,0.000112943458537587,7.27578647062655e-05,2830,"tags=67%, list=36%, signal=43%","GADD45B/CYCS/CTNNB1/GADD45A/CDKN1A/RAC2/FOS/GRB2/JUN/TCF7L2/PIK3R1/TGFB3/RAF1/CCND1/RPS6KB2/TGFBR1/CASP3/POLK/TGFB2/APPL1/AKT2/SOS1/TCF7L1/MSH6/PIK3CA/HRAS/MAPK9/MAP2K2/MYC/PIK3R3/TGFBR2/BAK1/GADD45G/LEF1/APC"
"hsa05414","Dilated cardiomyopathy",53,0.458430219291605,2.27757808510539,6.05690471652674e-06,0.000112943458537587,7.27578647062655e-05,1360,"tags=47%, list=17%, signal=39%","ACTB/TPM2/TPM1/PLN/ITGB1/TPM4/ITGA8/SGCA/ITGA5/ITGA1/ITGA7/ITGA10/SGCD/ITGAV/DMD/DES/ATP2A2/AGT/ITGB8/TGFB3/ITGB4/ACTC1/ITGA3/TGFB2/ITGB5"
"hsa05020","Prion disease",89,0.379292555642237,2.14973519875578,7.8976118065249e-06,0.000139085719037133,8.95986368693469e-05,1489,"tags=43%, list=19%, signal=35%","CAV1/TUBA1B/TUBA1A/TUBB/ATP5F1E/TUBB6/ATP5PF/HSPA8/CREB5/TUBB4B/HSPA5/CYCS/ATP5F1B/ATP5PO/ATP5MC3/SEM1/ATP5MC2/RAC2/ATP5F1D/HSPA1A/PSMC4/TUBB2A/PIK3R1/TUBA4A/CREB3L2/ATP5F1A/PSMD12/ITPR1/ATP5PB/PSMA5/ATP5PD/ATP5MC1/CASP3/TUBA1C/C1QB/SLC25A5/CSNK2A1/EGR1"
"hsa04530","Tight junction",79,0.389184640255219,2.13771551257997,9.76457724516651e-06,0.000162914262458831,0.000104948918867718,1292,"tags=37%, list=16%, signal=31%","ACTB/MYL9/MYH11/ITGB1/ACTN1/MYH10/MYL12A/ROCK1/TUBA1B/TUBA1A/MSN/MYH9/PRKCE/CTTN/JUN/RAB13/HSPA4/RDX/TUBA4A/ROCK2/JAM3/PRKCI/PRKAG2/CCND1/PRKAG1/ERBB2/ARHGEF2/TUBA1C/ARPC5L"
"hsa05415","Diabetic cardiomyopathy",76,0.404331477731523,2.21932313783448,1.3233270427233e-05,0.000199759367877755,0.000128684434229734,3047,"tags=67%, list=39%, signal=42%","PLN/GAPDH/PPP1CB/ATP5F1E/PDK4/ATP5PF/ATP5F1B/ATP5PO/ATP5MC3/INSR/ATP5MC2/RAC2/ATP5F1D/ATP2A2/AGT/PIK3R1/SP1/TGFB3/ATP5F1A/ATP5PB/PDK3/COL1A2/PARP1/TGFBR1/ATP5PD/ATP5MC1/TGFB2/PLCB1/AKT2/SLC25A5/GFPT1/MMP2/RYR2/NDUFA4L2/G6PD/PTEN/COL1A1/PIK3CA/MAPK14/MAPK9/ATP5F1C/PIK3R3/COX4I2/TGFBR2/CD36/COL3A1/PRKCB/PLCB3/GFPT2/PPARA/IRS1"
"hsa04210","Apoptosis",77,0.388581964930165,2.13274759057769,1.27783666544486e-05,0.000199759367877755,0.000128684434229734,3138,"tags=62%, list=40%, signal=38%","ACTB/TUBA1B/TUBA1A/GADD45B/CYCS/CAPN2/GADD45A/TNFRSF1A/FOS/JUN/MCL1/PIK3R1/TUBA4A/RAF1/CTSF/ITPR1/CAPN1/PARP1/NOL3/CASP3/TUBA1C/CTSZ/AKT2/FAS/CFLAR/NFKBIA/BCL2L1/PIK3CA/HRAS/MAPK9/MAP2K2/DAXX/ITPR2/NGF/BIRC3/PIK3R3/BAK1/GADD45G/CASP6/MAP3K5/GZMB/CASP7/FADD/PTPN13/ATM/PARP2/BCL2A1/BCL2"
"hsa04714","Thermogenesis",77,0.38738073999727,2.12615461969229,1.41234432786446e-05,0.000203505978151378,0.000131097990241964,2396,"tags=52%, list=30%, signal=37%","ACTB/ATP5F1E/ATP5PF/ATP5ME/ATP5MF/ATP5MG/CREB5/ATP5F1B/ATP5PO/ATP5MC3/ATP5MC2/NPR1/PRKG1/ATP5F1D/GRB2/MGLL/MAP2K3/CREB3L2/PRKAG2/ATP5F1A/RPS6KB2/ATP5PB/PRKAG1/ATP5PD/SMARCC1/ATP5MC1/PRDM16/SMARCA2/SOS1/NDUFAF4/COA1/ACSL4/NDUFA4L2/PRKAA1/CNR1/RPS6KA6/PRKACB/HRAS/MAPK14/ATP5F1C"
"hsa04068","FoxO signaling pathway",69,0.407313677341537,2.18122471916661,1.53396689590166e-05,0.000211420654782968,0.000136196603114381,3368,"tags=74%, list=43%, signal=43%","GADD45B/GADD45A/CDKN1A/FBXO32/INSR/GRB2/CCND2/DEPP1/PIK3R1/KLF2/STAT3/TGFB3/RAF1/CDKN1B/PRKAG2/CCND1/TGFBR1/PRKAG1/FOXO3/IRS2/RBL2/TGFB2/IGF1R/AKT2/SOS1/CDKN2D/PRKAA1/STK4/SGK1/USP7/PTEN/S1PR1/PIK3CA/PLK2/HRAS/MAPK14/MAPK9/MAP2K2/BCL6/PIK3R3/TGFBR2/GADD45G/CDK2/PRKAB2/IL6/IRS1/ATM/SOS2/SLC2A4/PIK3CB/GABARAP"
"hsa04022","cGMP-PKG signaling pathway",75,0.383503730307408,2.09476640001422,3.38192235709318e-05,0.000446695577999391,0.000287760060208806,1943,"tags=49%, list=25%, signal=38%","MYL9/PLN/MYLK/KCNMB1/PPP1CB/ROCK1/CREB5/MEF2C/GUCY1A1/PDE5A/INSR/PRKCE/NPR1/PRKG1/TRPC6/KCNMA1/RGS2/ATP2A2/PDE3A/ROCK2/CREB3L2/ATP1A1/EDNRB/ATP2B4/RAF1/ITPR1/IRS2/PLCB1/AKT2/SLC25A5/ATP1A2/NFATC1/EDNRA/ATP1B1/ADRA2B/GNA13/ADRA2C"
