"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04066","HIF-1 signaling pathway",62,0.395451961505995,2.0660348846628,0.000132916203143402,0.00113876855125563,0.00073359156215704,1351,"tags=39%, list=17%, signal=32%","GAPDH/ENO1/EPAS1/ELOB/LDHA/CDKN1A/INSR/PGK1/EGLN2/HIF1A/TIMP1/ELOC/PIK3R1/SERPINE1/PFKP/STAT3/HK1/CDKN1B/RPS6KB2/PFKM/ERBB2/IFNGR1/IGF1R/AKT2"
"hsa04218","Cellular senescence",95,0.333326817899773,1.92323121940266,0.000126147362307292,0.00113876855125563,0.00073359156215704,2731,"tags=58%, list=35%, signal=38%","PPP1CB/HLA-A/GADD45B/ZFP36L1/RRAS/MAP2K6/HLA-C/CAPN2/GADD45A/CDKN1A/HIPK2/CCND2/TRPM7/MAP2K3/PIK3R1/SERPINE1/TGFB3/RAF1/CCND1/IGFBP3/ITPR1/RRAS2/CAPN1/TGFBR1/FOXO3/RBL2/TGFB2/AKT2/SLC25A5/MRAS/HLA-B/CCND3/NFATC1/ZFP36L2/E2F4/HLA-E/MRE11/PTEN/RB1/PIK3CA/HRAS/MAPK14/NBN/MAP2K2/NFATC3/NFATC4/ITPR2/PPP3CA/MAPKAPK2/MYC/LIN52/PIK3R3/TGFBR2/GADD45G/CDK2"
"hsa05206","MicroRNAs in cancer",107,0.318865683635771,1.87373016694595,0.000131868331119414,0.00113876855125563,0.00073359156215704,3288,"tags=65%, list=42%, signal=39%","VIM/TPM1/ROCK1/ITGA5/PDGFRB/PDGFRA/ZEB1/CDKN1A/PRKCE/FZD3/NOTCH3/GRB2/CCND2/MCL1/CYP1B1/GLS/RDX/PIK3R1/STAT3/PDGFA/RAF1/CDKN1B/STMN1/ZEB2/TIMP3/CCND1/ERBB2/CASP3/IRS2/TGFB2/SLC7A1/PIM1/CCNG1/SOS1/DDIT4/ZFPM2/EZR/DICER1/BMPR2/PTEN/CD44/SHC4/PIK3CA/TNC/ABL1/HRAS/MAP2K2/SOX4/EFNA1/MYC/PIK3R3/NOTCH1/BAK1/NOTCH4/APC/PRKCB/DNMT3A/MARCKS/IRS1/BMI1/ATM/SOS2/BCL2/BCL2L2/SHC1/PRKCA/THBS1/RECK/SPRY2/CDK6"
"hsa04060","Cytokine-cytokine receptor interaction",144,-0.302707257115462,-1.81238406739827,0.000183616153005792,0.00153174527639042,0.000986746085405085,2070,"tags=40%, list=26%, signal=30%","IL18RAP/TNFSF8/CCL8/GDF6/IL1R2/IL18/TNFRSF19/CCL7/CCL14/CCL3L1/CCL11/LIF/CXCL6/BMP3/TNF/IL1RN/RELL1/IL27RA/EBI3/TNFSF4/CX3CR1/CCR4/TNFSF14/IL18R1/IL20/CXCL9/CXCR2/TNFRSF11A/PF4/TNFRSF13C/CCL19/XCL1/CXCL11/TNFSF9/CCR5/MSTN/THPO/IL24/CXCR5/TNFSF13/CCR1/BMP8B/IL12RB1/CXCR6/GDF3/BMP7/CCL27/IL1A/CCL22/IL2RB/IL5RA/GDF5/TNFRSF10A/PRLR/CD27/CXCR3/CD70/CCR6"
"hsa04670","Leukocyte transendothelial migration",58,0.383902186729901,1.98153736959302,0.000274467766115222,0.00223093030406475,0.00143715915320791,927,"tags=33%, list=12%, signal=29%","ACTB/MYL9/ITGB1/ACTN1/MYL12A/VCL/ROCK1/MSN/CTNNB1/PTK2/RAC2/BCAR1/ARHGAP5/PTPN11/PIK3R1/ROCK2/ITGB2/JAM3/CXCL12"
"hsa03010","Ribosome",21,0.577683837862932,2.21727685609621,0.000303061499586908,0.00240176238422625,0.00154720870841737,2728,"tags=81%, list=35%, signal=53%","RPL41/MRPS6/RPS21/RACK1/MRPS31/RPL26L1/RPL39L/MRPL19/MRPS16/MRPS22/MRPS5/MRPS30/MRPS28/MRPS27/MRPL35/MRPL15/MRPL30"
"hsa04520","Adherens junction",43,0.431839176255081,2.05234844757465,0.000359418682649156,0.00271275529523291,0.00174754948455981,1695,"tags=51%, list=22%, signal=40%","ACTB/MYL9/ACTN1/MYL12A/SORBS1/VCL/ROCK1/IQGAP1/CTNNB1/INSR/RAC2/TCF7L2/ROCK2/ARHGAP29/TGFBR1/ERBB2/IGF1R/RAP1B/CSNK2A1/LMO7/SNAI2/PTPN1"
"hsa04082","Neuroactive ligand signaling",58,-0.389978289662292,-1.92466335328983,0.000353780742529169,0.00271275529523291,0.00174754948455981,2094,"tags=48%, list=27%, signal=36%","SLC1A7/ADORA3/HTR2A/TAC1/ADRB1/GRIK1/HTR3C/GRIA3/GABRA4/DRD1/P2RX5/SLC6A1/OPRL1/GABRA2/SLC17A7/SLC18A2/GABRD/HTR1F/HTR2B/CHRM2/ADCY1/P2RX2/PENK/GRIN2B/TACR1/GABRB3/GNGT2/PNOC"
"hsa04910","Insulin signaling pathway",68,0.362816627944837,1.9393156523354,0.000373557305776141,0.00275389920769853,0.00177405427957335,3351,"tags=65%, list=43%, signal=38%","SORBS1/PPP1CB/INSR/GRB2/PPP1R3C/PIK3R1/HK1/RAF1/PRKCI/PRKAG2/RPS6KB2/PRKAG1/SOCS4/IRS2/PHKG1/AKT2/SOS1/PPP1R3B/TRIP10/PRKAR2A/PTPN1/ELK1/PRKAA1/SOCS3/CBL/SHC4/PIK3CA/PRKACB/SOCS2/HRAS/MAPK9/MKNK1/INPP5A/MAP2K2/PIK3R3/RAPGEF1/PRKAB2/IRS1/SOS2/PTPRF/SHC1/SLC2A4/PIK3CB/MKNK2"
"hsa04540","Gap junction",42,0.419963970052528,1.99374120120803,0.000394604625991021,0.00284294696452622,0.00183141859909708,1361,"tags=48%, list=17%, signal=40%","TUBA1B/TUBA1A/TUBB/TUBB6/TUBB4B/GUCY1A1/GJA1/PDGFRB/PDGFRA/PRKG1/PDGFD/GRB2/TUBB2A/TUBA4A/PDGFA/RAF1/ITPR1/TUBA1C/PLCB1/SOS1"
"hsa05412","Arrhythmogenic right ventricular cardiomyopathy",47,0.407002375193938,1.99114692849073,0.000441796175749598,0.00311220861583606,0.00200487621275841,880,"tags=40%, list=11%, signal=36%","ACTB/ITGB1/ITGA8/SGCA/ITGA5/GJA1/CTNNB1/ITGA1/ITGA7/ITGA10/SGCD/ACTN2/ITGAV/DMD/DES/TCF7L2/ATP2A2/ITGB8/ITGB4"
"hsa05213","Endometrial cancer",32,0.47173183836317,2.05143940743942,0.000547197493442003,0.00375934159755022,0.00242175749601442,2830,"tags=81%, list=36%, signal=52%","GADD45B/CTNNB1/GADD45A/CDKN1A/GRB2/TCF7L2/PIK3R1/RAF1/CCND1/FOXO3/ERBB2/POLK/AKT2/SOS1/ELK1/PTEN/TCF7L1/PIK3CA/HRAS/MAP2K2/MYC/PIK3R3/BAK1/GADD45G/LEF1/APC"
"hsa05200","Pathways in cancer",276,0.228055092418064,1.58135251137488,0.000557378722665174,0.00375934159755022,0.00242175749601442,1555,"tags=30%, list=20%, signal=25%","ITGB1/HSP90AA1/ROCK1/HSP90B1/GADD45B/EPAS1/FN1/COL4A2/PDGFRB/ZBTB16/CYCS/PDGFRA/ELOB/CTNNB1/COL4A4/PTK2/GADD45A/CDKN1A/COL4A1/RAC2/RASGRP2/JAG1/FOS/FZD3/HEY2/NOTCH3/GRB2/CCND2/ITGAV/JUN/GNG2/EGLN2/HIF1A/TCF7L2/ELOC/AGT/PIK3R1/GNB1/ROCK2/SP1/FGF1/EDNRB/LAMB1/STAT3/TGFB3/PDGFA/RAF1/CDKN1B/LAMB2/IL15/CXCL12/CCND1/RPS6KB2/HEYL/MITF/GSTA4/TGFBR1/LAMA5/ERBB2/IL6ST/ITGA3/MAX/JAK2/CASP3/POLK/TGFB2/IFNGR1/PIM1/GNG11/APPL1/IGF1R/PLCB1/TXNRD1/FGF7/AKT2/SOS1/CCND3/FAS/NCOA3/AR/MECOM/DVL3"
"hsa05033","Nicotine addiction",10,-0.730883068282061,-2.1730635472675,0.000584685089301797,0.00386135777726395,0.00248747603781905,1643,"tags=80%, list=21%, signal=63%","CACNA1A/GRIA3/GABRA4/GABRA2/SLC17A7/GABRD/GRIN2B/GABRB3"
"hsa05220","Chronic myeloid leukemia",46,0.425651273566665,2.0700838851216,0.000606679655816048,0.00392484593660586,0.00252837493508729,2674,"tags=67%, list=34%, signal=45%","GADD45B/GADD45A/CDKN1A/GRB2/PTPN11/PIK3R1/TGFB3/RAF1/CDKN1B/CCND1/TGFBR1/POLK/TGFB2/AKT2/SOS1/MECOM/NFKBIA/BCL2L1/CBL/SHC4/RB1/PIK3CA/ABL1/HRAS/MAP2K2/BCR/MYC/PIK3R3/TGFBR2/BAK1/GADD45G"
"hsa04919","Thyroid hormone signaling pathway",57,0.382628832071285,1.97042204306175,0.00067731265272986,0.00429416221830731,0.00276628746588617,2586,"tags=58%, list=33%, signal=39%","ACTB/PLN/CTNNB1/NOTCH3/ITGAV/HIF1A/KAT2A/ATP2A2/PIK3R1/ATP1A1/PFKP/RAF1/CCND1/PFKM/RCAN1/PLCB1/AKT2/PLCD1/SIN3A/ATP1A2/MED13/NCOA3/ATP1B1/MED1/PIK3CA/PRKACB/HRAS/MAP2K2/PLCE1/MYC/PIK3R3/STAT1/NOTCH1"
"hsa04933","AGE-RAGE signaling pathway in diabetic complications",73,0.345681935284108,1.87093524793395,0.000695409209034485,0.00432244547576337,0.00278450746238782,3186,"tags=63%, list=40%, signal=38%","FN1/COL4A2/COL4A4/COL4A1/PRKCE/JUN/AGT/PIK3R1/SERPINE1/STAT3/TGFB3/CDKN1B/CCND1/COL1A2/TGFBR1/JAK2/CASP3/TGFB2/PIM1/PLCB1/AKT2/PLCD1/EGR1/NFATC1/IL1B/MMP2/COL4A5/THBD/COL1A1/PIK3CA/VEGFD/HRAS/F3/MAPK14/MAPK9/PLCE1/PIK3R3/STAT1/TGFBR2/CCL2/COL3A1/PRKCB/PLCB3/IL6/BCL2/PRKCA"
"hsa04517","IgSF CAM signaling",154,0.258853112607686,1.63799274438112,0.000827941363301337,0.00504725792627931,0.00325142964535343,977,"tags=25%, list=12%, signal=23%","ACTB/MYL9/MYH11/ITGB1/ACTN1/MYLK/MYH10/MYL12A/SORBS1/VCL/TUBA1B/TUBA1A/TUBB/TUBB6/MSN/MYH9/ITGA5/MBP/IQGAP1/TUBB4B/NTRK3/CTNNB1/PTK2/BCAR1/GRB2/TRPC6/NCK2/RDX/TUBB2A/PTPN11/PIK3R1/TUBA4A/ITGB2/CADM1/ANK3/JAM3/PRKCI/PLXNA3/CADM2"
"hsa05203","Viral carcinogenesis",81,0.324687095052813,1.79579677567738,0.000973181889054713,0.00582072941189328,0.00374969784461995,2299,"tags=47%, list=29%, signal=34%","ACTN1/YWHAH/PKM/HLA-A/CREB5/HLA-C/CDKN1A/GSN/GRB2/CCND2/JUN/KAT2A/PIK3R1/CREB3L2/STAT3/SP100/CDKN1B/CCND1/CHD4/IL6ST/CASP3/RBL2/IRF3/HLA-B/CCND3/HDAC8/NFKBIA/UBR4/HLA-E/TBPL1/EIF2AK2/LTBR/GTF2B/USP7/RB1/PIK3CA/PRKACB/HRAS"
"hsa03018","RNA degradation",23,0.504951778919024,1.98336821662803,0.00123521638191117,0.0072377429672775,0.00466253407156512,2564,"tags=65%, list=33%, signal=44%","ENO1/BTG2/BTG1/TOB1/CNOT10/HSPD1/PFKP/PFKM/XRN2/EXOSC6/PABPC4L/DCPS/EXOSC10/PATL1/TENT4B"
"hsa05170","Human immunodeficiency virus 1 infection",105,0.294562652635152,1.73497932028832,0.00125575982082102,0.0072377429672775,0.00466253407156512,2637,"tags=50%, list=33%, signal=33%","CFL2/B2M/HLA-A/WEE1/MAP2K6/HLA-C/CYCS/PDIA3/ELOB/PTK2/CALR/TNFRSF1A/RAC2/FOS/AP1S2/JUN/GNG2/MAP2K3/ELOC/PIK3R1/GNB1/RAF1/RPS6KB2/ITPR1/CASP3/GNG11/AKT2/IRF3/HLA-B/FAS/NFATC1/NFKBIA/HLA-E/BCL2L1/BST2/TRAF6/SAMHD1/AP1M1/PIK3CA/HRAS/MAPK14/MAPK9/MAP2K2/NFATC3/NFATC4/ITPR2/PPP3CA/PIK3R3/TAP1/TNFRSF1B/BAK1/TAPBP"
"hsa04010","MAPK signaling pathway",163,0.254540344514084,1.63199311362986,0.00136789896774014,0.00774328522810044,0.00498820300266141,2575,"tags=45%, list=33%, signal=31%","HSPB1/FLNA/DUSP1/NR4A1/GADD45B/HSPA8/MAP3K20/MEF2C/RRAS/MAP2K6/PDGFRB/PDGFRA/GADD45A/TNFRSF1A/INSR/RAC2/RASGRP2/PDGFD/FOS/GRB2/JUN/HSPA1A/MAP2K3/FGF1/TGFB3/PDGFA/RAF1/STMN1/RRAS2/PPM1A/TGFBR1/PLA2G4C/ERBB2/MAX/CASP3/NTRK2/TGFB2/IGF1R/MAP3K8/FGF7/LAMTOR3/AKT2/SOS1/MRAS/RAP1B/FAS/MECOM/DUSP2/NFATC1/ANGPT1/IL1B/TAOK3/ELK1/TRAF6/STK4/DUSP8/RPS6KA6/PRKACB/MAP4K3/VEGFD/HRAS/MAPK14/MAPK9/MKNK1/MAP2K2/NFATC3/DAXX/EFNA1/PPP3CA/PGF/NGF/MAPKAPK2/MYC"
"hsa05100","Bacterial invasion of epithelial cells",34,0.443144382810413,1.94021941472956,0.00148696332117274,0.00826960303178523,0.00532725548120981,757,"tags=38%, list=10%, signal=35%","ACTB/ITGB1/CAV1/VCL/ITGA5/FN1/CTNNB1/PTK2/BCAR1/CTTN/PIK3R1/CLTC/DOCK1"
"hsa05231","Choline metabolism in cancer",54,0.356676010926283,1.79422977896214,0.00176877740235471,0.00966728338873176,0.00622763731500568,1361,"tags=39%, list=17%, signal=32%","PDGFRB/PDGFRA/PLPP1/RAC2/PDGFD/FOS/GRB2/JUN/HIF1A/PIK3R1/SP1/PDGFA/SLC22A3/RAF1/PLPP3/RPS6KB2/PLA2G4C/DGKD/LYPLA1/AKT2/SOS1"
"hsa05166","Human T-cell leukemia virus 1 infection",129,0.267688159650987,1.61593133814689,0.00183582980119337,0.00986369571149657,0.00635416559199845,2623,"tags=47%, list=33%, signal=32%","TLN1/B2M/HLA-A/CREB5/HLA-C/CDKN1A/CALR/TNFRSF1A/FOS/CCND2/ANAPC15/JUN/KAT2A/FDPS/PIK3R1/HLA-DRB1/CREB3L2/ITGB2/TGFB3/IL15/CCND1/ZFP36/TGFBR1/TLN2/TGFB2/AKT2/SLC25A5/CDC27/HLA-B/CCND3/HLA-DRA/EGR1/CDC16/NFATC1/NFKBIA/ANAPC2/HLA-E/BCL2L1/ELK1/TBPL1/ANAPC10/LTBR/CDKN2C/GPS2/HLA-DMA/PTEN/RB1/PIK3CA/PRKACB/HRAS/MAPK9/MAP2K2/NFATC3/NFATC4/FOSL1/PPP3CA/XPO1/MYC/PIK3R3/TGFBR2"
"hsa04061","Viral protein interaction with cytokine and cytokine receptor",65,-0.353445808237286,-1.80342793065405,0.00192169778038901,0.0101529699397219,0.00654051525255208,2138,"tags=48%, list=27%, signal=35%","IL2RA/IL18RAP/CCL8/IL18/CCL7/CCL14/CCL3L1/CCL11/CXCL6/TNF/CX3CR1/CCR4/TNFSF14/IL18R1/IL20/CXCL9/CXCR2/PF4/CCL19/XCL1/CXCL11/CCR5/IL24/CXCR5/CCR1/CCL27/CCL22/IL2RB/TNFRSF10A/CXCR3/CCR6"
"hsa05167","Kaposi sarcoma-associated herpesvirus infection",101,0.298021276775767,1.74029687702235,0.00200677464948581,0.0104286485883115,0.00671810667817512,2653,"tags=52%, list=34%, signal=35%","HLA-A/MAP2K6/HLA-C/CYCS/CTNNB1/CDKN1A/TNFRSF1A/FOS/JUN/GNG2/HIF1A/TCF7L2/PIK3R1/GNB1/STAT3/RAF1/CCND1/ITPR1/ZFP36/RCAN1/IL6ST/JAK2/CASP3/ATG3/IFNGR1/GNG11/AKT2/IRF3/HLA-B/FAS/ATG14/NFATC1/NFKBIA/HLA-E/EIF2AK2/PIK3C3/TCF7L1/RB1/PIK3CA/HRAS/MAPK14/MAPK9/MAP2K2/NFATC3/NFATC4/ITPR2/PPP3CA/MAPKAPK2/MYC/PIK3R3/STAT1/BAK1/IFNAR2"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",84,0.317311117189106,1.77227356055144,0.00210763563383122,0.0107761370310403,0.00694195777526751,2705,"tags=52%, list=34%, signal=35%","ATP5F1E/ATP5PF/PTK2/ATP5F1B/ATP5PO/ATP5MC3/ATP5MC2/ATP5F1D/FOS/GRB2/JUN/HIF1A/CYP1B1/PTPN11/PIK3R1/RAF1/ATP5F1A/AKR1A1/ATP5PB/GSTA4/ATP5PD/FOXO3/ATP5MC1/PRKD3/AKT2/SLC25A5/SOS1/CBR1/NFKBIA/PTPN1/NDUFA4L2/EPHX1/PTEN/PIK3CA/ABL1/HRAS/MAPK14/MAPK9/ATP5F1C/MAP2K2/PIK3R3/COX4I2/AHR/MAP3K5"
"hsa05211","Renal cell carcinoma",37,0.426440923103989,1.91561107606929,0.00227102389689499,0.0114272154812018,0.00736138071842319,1390,"tags=43%, list=18%, signal=36%","EPAS1/ELOB/CDKN1A/GRB2/JUN/EGLN2/HIF1A/ELOC/PTPN11/PIK3R1/TGFB3/RAF1/TGFB2/AKT2/SOS1/RAP1B"
"hsa00562","Inositol phosphate metabolism",39,0.400599563885807,1.84146325608402,0.00243612799121739,0.0120664464564986,0.00777317155092391,3823,"tags=79%, list=49%, signal=41%","ISYNA1/ALDH6A1/MINPP1/INPP4B/ITPK1/PLCB1/PLCD1/IP6K1/PIK3C2A/PIK3C3/PTEN/IP6K2/PIK3CA/PIP5K1A/INPP5K/INPP5A/PLCE1/PIP5K1B/SYNJ2/SACM1L/FIG4/PLCB3/MTMR2/PIK3CB/INPP5F/SYNJ1/IMPA2/PLCD3/PI4K2A/ITPKB/PIP5KL1"
"hsa05014","Amyotrophic lateral sclerosis",107,0.279894551117537,1.64472657581988,0.00248614146643816,0.0121247206901676,0.00781071165164376,1208,"tags=32%, list=15%, signal=27%","ACTB/TUBA1B/TUBA1A/TUBB/ATP5F1E/TUBB6/ATP5PF/TUBB4B/HSPA5/MAP2K6/CYCS/ATP5F1B/ATP5PO/ATP5MC3/SEM1/TNFRSF1A/ATP5MC2/ATP5F1D/GPX3/CHCHD10/MAP2K3/PSMC4/TUBB2A/TUBA4A/WIPI1/ATP5F1A/PSMD12/ATP5PB/PSMA5/ATP5PD/ATP5MC1/RB1CC1/CASP3/TUBA1C"
"hsa03082","ATP-dependent chromatin remodeling",36,0.404835772593174,1.78977036653545,0.00275449545666804,0.0130324635785637,0.00839547711851689,2589,"tags=64%, list=33%, signal=43%","ACTB/ACTR8/BCL7C/SMARCA1/CHD4/EPC2/SMARCC1/BAZ1B/SMARCA2/ACTR6/BAZ2B/INO80/BRD9/BRD7/BPTF/PHF10/UCHL5/ARID2/VPS72/GATAD2B/GATAD2A/C17orf49/BAZ2A"
"hsa04611","Platelet activation",64,0.33296846492293,1.75734210827754,0.00272211563195523,0.0130324635785637,0.00839547711851689,2578,"tags=52%, list=33%, signal=35%","ACTB/ITGB1/MYLK/MYL12A/TLN1/PPP1CB/ROCK1/GUCY1A1/RASGRP2/PRKG1/TBXA2R/PIK3R1/ROCK2/PRKCI/ITPR1/PTGIR/COL1A2/TLN2/PLA2G4C/PLCB1/AKT2/RAP1B/ARHGAP35/FCGR2A/GNA13/COL1A1/GUCY1B1/PIK3CA/PRKACB/MAPK14/ITPR2/FCER1G/PIK3R3"
"hsa04931","Insulin resistance",66,0.338414273904682,1.8090132688478,0.00302106125025502,0.0140834767107477,0.00907253688157079,3345,"tags=65%, list=42%, signal=38%","PPP1CB/CREB5/SLC27A1/SLC27A3/TNFRSF1A/INSR/PRKCE/PPP1R3C/PTPN11/AGT/PIK3R1/CREB3L2/STAT3/PRKAG2/RPS6KB2/PRKAG1/IRS2/SLC27A5/AKT2/PPP1R3B/GFPT1/NFKBIA/PTPN1/PRKAA1/SOCS3/PTEN/RPS6KA6/OGA/PIK3CA/MAPK9/PIK3R3/CD36/PRKAB2/MLXIP/PRKCB/GFPT2/IL6/PPARA/IRS1/PTPRF/SLC2A4/PPARGC1B/PIK3CB"
"hsa05169","Epstein-Barr virus infection",111,0.273964438925822,1.62431294733463,0.00328456214152447,0.0150899449110617,0.00972090092228448,2731,"tags=50%, list=35%, signal=33%","VIM/B2M/HLA-A/GADD45B/MAP2K6/HLA-C/CYCS/PDIA3/GADD45A/CDKN1A/SEM1/CALR/CCND2/JUN/MAP2K3/PSMC4/PIK3R1/HLA-DRB1/STAT3/CDKN1B/CIR1/CCND1/PSMD12/CASP3/POLK/AKT2/SIN3A/IRF3/HLA-B/CCND3/FAS/HLA-DRA/NFKBIA/HLA-E/ISG15/TRAF6/EIF2AK2/HES1/HLA-DMA/USP7/CD44/RB1/PIK3CA/MAPK14/MAPK9/MAVS/MYC/PIK3R3/STAT1/TAP1/BAK1/TAPBP/IFNAR2/GADD45G/CDK2"
"hsa00010","Glycolysis / Gluconeogenesis",28,0.445551914486789,1.877013590996,0.00365930634669108,0.0165714301700153,0.0106752696429785,1068,"tags=46%, list=14%, signal=40%","GAPDH/ALDH1B1/PKM/ENO1/LDHA/PGK1/ADH1B/PFKP/HK1/AKR1A1/PGM1/MINPP1/PFKM"
"hsa05168","Herpes simplex virus 1 infection",94,0.282124711202908,1.61515293462074,0.00394854845974586,0.0176294346723864,0.011356833227438,2653,"tags=47%, list=34%, signal=31%","PPP1CB/B2M/HLA-A/ITGA5/HLA-C/CYCS/PDIA3/CALR/TNFRSF1A/CD74/PTPN11/PIK3R1/HLA-DRB1/SP100/JAK2/CASP3/IFNGR1/AKT2/IRF3/HLA-B/FAS/HLA-DRA/HCFC2/NFKBIA/IL1B/HLA-E/BCL2L1/BST2/SRPK1/TRAF6/EIF2AK2/SOCS3/HLA-DMA/PIK3CA/EIF2B4/DAXX/MAVS/BIRC3/PIK3R3/STAT1/TAP1/BAK1/TAPBP/IFNAR2"
"hsa00310","Lysine degradation",29,0.449263959909557,1.91346737638051,0.00542435276482316,0.0238822198117909,0.0153848601809312,2782,"tags=66%, list=35%, signal=43%","ALDH1B1/NSD3/PRDM6/HADH/ASH1L/ACAT2/EHMT1/PRDM16/PLOD2/ALDH3A2/MECOM/KMT2C/PLOD3/PRDM2/SETD2/SETMAR/SMYD2/CAMKMT/TMLHE"
"hsa04070","Phosphatidylinositol signaling system",47,0.355140347919449,1.73742625606542,0.00559919619755277,0.0243143177345785,0.0156632164718852,3800,"tags=79%, list=48%, signal=41%","CDS2/PIK3R1/ITPR1/INPP4B/DGKD/ITPK1/PLCB1/PLCD1/DGKH/IP6K1/PIK3C2A/PIK3C3/PTEN/IP6K2/PIK3CA/PIP5K1A/INPP5A/PIP4P1/PLCE1/PIP4P2/ITPR2/PIK3R3/PIP5K1B/SYNJ2/DGKG/SACM1L/PRKCB/PLCB3/MTMR2/PRKCA/PIK3CB/INPP5F/SYNJ1/IMPA2/PLCD3/PI4K2A/ITPKB"
"hsa05017","Spinocerebellar ataxia",50,0.349334874456118,1.72608724523523,0.00609860571724379,0.02612510827522,0.0168297227474438,3345,"tags=66%, list=42%, signal=38%","CYCS/SEM1/ATP2A2/PSMC4/PIK3R1/SP1/WIPI1/ATXN3/PSMD12/ITPR1/PSMA5/RB1CC1/PLCB1/AKT2/SLC25A5/ATG14/CIC/TBPL1/PUM2/GTF2B/PIK3C3/PIK3CA/MAPK9/RORA/ITPR2/PIK3R3/MAP3K5/ATG2A/PRKCB/PLCB3/PRKCA/OPA1/PIK3CB"
"hsa05215","Prostate cancer",57,0.330046353911369,1.69963828250654,0.00692070478350855,0.0292515122182962,0.0188437435508865,2403,"tags=53%, list=30%, signal=37%","HSP90AA1/HSP90B1/CREB5/PDGFRB/PDGFRA/CTNNB1/ZEB1/CDKN1A/PDGFD/GRB2/TCF7L2/PIK3R1/CREB3L2/PDGFA/RAF1/CDKN1B/CCND1/ERBB2/IGF1R/AKT2/SOS1/AR/NFKBIA/ERG/PTEN/TCF7L1/RB1/PIK3CA/HRAS/MAP2K2"
"hsa01521","EGFR tyrosine kinase inhibitor resistance",48,0.348171335677539,1.70765356673665,0.00736961112523601,0.0299508554705104,0.0192942585465018,3186,"tags=65%, list=40%, signal=39%","GAS6/PDGFRB/PDGFRA/AXL/PDGFD/GRB2/PIK3R1/STAT3/PDGFA/RAF1/RPS6KB2/FOXO3/ERBB2/JAK2/IGF1R/AKT2/SOS1/BCL2L1/NRG2/PTEN/SHC4/PIK3CA/HRAS/MAP2K2/PIK3R3/PRKCB/IL6/SOS2/BCL2/SHC1/PRKCA"
"hsa04371","Apelin signaling pathway",59,0.327963745449128,1.69276778318817,0.0072610340246587,0.0299508554705104,0.0192942585465018,2495,"tags=56%, list=32%, signal=39%","ACTA2/MYLK/MEF2C/RRAS/PRKCE/JAG1/NOTCH3/GNG2/GNB1/SERPINE1/KLF2/RAF1/PRKAG2/CCND1/RPS6KB2/ITPR1/RRAS2/TGFBR1/PRKAG1/GNG11/PLCB1/AKT2/MRAS/EGR1/SPP1/RYR2/PRKAA1/GNA13/PIK3C3/PRKACB/HRAS/MAP2K2/ITPR2"
"hsa04144","Endocytosis",103,0.274820510744631,1.61238628452601,0.00735017401620932,0.0299508554705104,0.0192942585465018,2673,"tags=50%, list=34%, signal=34%","CAV1/HLA-A/HSPA8/HLA-C/PDGFRA/CHMP1B/HSPA1A/CLTC/SPART/EEA1/VPS4B/PRKCI/ARFGAP3/EPN2/SMAP1/WASHC3/WASHC4/TGFBR1/RAB11FIP1/VPS37B/EHD1/ARPC5L/IGF1R/GIT2/RAB11FIP2/HLA-B/RABEP1/GRK5/LDLR/SH3GLB2/HLA-E/VPS45/IQSEC1/ITCH/TRAF6/TFRC/AP2A2/WASHC2C/VTA1/CBL/LDLRAP1/ARFGEF1/PIP5K1A/HRAS/WASHC2A/PSD3/VPS26B/PIP5K1B/STAM2/TGFBR2/RAB11FIP5/WASHC5"
"hsa04012","ErbB signaling pathway",48,0.347180031888319,1.70279158277095,0.00774443703426945,0.0306873317482927,0.0197686945348457,3476,"tags=65%, list=44%, signal=36%","PTK2/CDKN1A/BTC/GRB2/JUN/NCK2/PIK3R1/RAF1/CDKN1B/RPS6KB2/ERBB2/AKT2/SOS1/ELK1/NRG2/CBL/SHC4/PIK3CA/ABL1/HRAS/MAPK9/MAP2K2/MYC/PIK3R3/PRKCB/SOS2/SHC1/PRKCA/PIK3CB/AREG/ABL2"
"hsa05135","Yersinia infection",70,0.306428466036798,1.64283511860661,0.00772535071718711,0.0306873317482927,0.0197686945348457,2593,"tags=49%, list=33%, signal=33%","ACTB/ITGB1/ROCK1/ITGA5/FN1/MAP2K6/PTK2/RAC2/BCAR1/FOS/JUN/MAP2K3/PIK3R1/ROCK2/DOCK1/ARPC5L/AKT2/IRF3/GIT2/NFATC1/NFKBIA/IL1B/FCGR2A/TRAF6/RPS6KA6/PIK3CA/PIP5K1A/MAPK14/MAPK9/FYB1/MAP2K2/NFATC3/PIK3R3/PIP5K1B"
"hsa04935","Growth hormone synthesis, secretion and action",65,0.312383102937184,1.66499717075374,0.00814389649560552,0.0318717924581105,0.0205317208596162,3392,"tags=66%, list=43%, signal=38%","JUNB/CREB5/MAP2K6/MRAP2/PTK2/BCAR1/FOS/GRB2/MAP2K3/PIK3R1/CREB3L2/STAT3/RAF1/IGFBP3/ITPR1/JAK2/IRS2/PLCB1/AKT2/SOS1/SOCS3/SHC4/SSTR2/PIK3CA/PRKACB/SOCS2/HRAS/MAPK14/MAPK9/MAP2K2/ITPR2/PIK3R3/STAT1/GHR/PRKCB/PLCB3/IRS1/SOS2/SHC1/PRKCA/PIK3CB/ATF2/ADCY6"
