id,Term,Classification_level1,Classification_level2,ListHits,ListTotal,PopHits,PopTotal,p-value,q-value,Enrichment_score,geneID,hyperlink_only_excel
rno04211,Longevity regulating pathway,Organismal Systems,Aging,3,84,90,9012,0.051458517,0.271914782,3.576190476,Tp53;Creb5;Foxo3,rno04211
rno04213,Longevity regulating pathway - multiple species,Organismal Systems,Aging,1,84,63,9012,0.446790959,0.611847491,1.702947846,Foxo3,rno04213
rno04216,Ferroptosis,Cellular Processes,Cell growth and death,1,84,41,9012,0.319418682,0.540748162,2.616724739,Tp53,rno04216
rno04217,Necroptosis,Cellular Processes,Cell growth and death,1,84,160,9012,0.779482462,0.798199126,0.670535714,Il1b,rno04217
rno04218,Cellular senescence,Cellular Processes,Cell growth and death,5,84,181,9012,0.02668736,0.179305702,2.963693765,Tp53;Nfatc1;Cacna1d;Map2k3;Foxo3,rno04218
rno04260,Cardiac muscle contraction,Organismal Systems,Circulatory system,1,84,87,9012,0.558974508,0.671094241,1.23316913,Cacna1d,rno04260
rno04261,Adrenergic signaling in cardiomyocytes,Organismal Systems,Circulatory system,3,84,151,9012,0.166383367,0.441634863,2.131504257,Agtr1b;Creb5;Cacna1d,rno04261
rno04270,Vascular smooth muscle contraction,Organismal Systems,Circulatory system,2,84,138,9012,0.369546216,0.560948308,1.554865424,Agtr1b;Cacna1d,rno04270
rno04310,Wnt signaling pathway,Environmental Information Processing,Signal transduction,3,84,172,9012,0.215953972,0.483935135,1.871262458,Tp53;Nfatc1;Nkd2,rno04310
rno04350,TGF-beta signaling pathway,Environmental Information Processing,Signal transduction,1,84,110,9012,0.645277008,0.726358936,0.975324675,Grem2,rno04350
rno04371,Apelin signaling pathway,Environmental Information Processing,Signal transduction,2,84,136,9012,0.362819077,0.560948308,1.577731092,Nos2;Agtr1b,rno04371
rno04380,Osteoclast differentiation,Organismal Systems,Development and regeneration,3,84,129,9012,0.118946512,0.39958594,2.495016611,Il1b;Nfatc1;Fcgr3a,rno04380
