id,Term,Classification_level1,Classification_level2,ListHits,ListTotal,PopHits,PopTotal,p-value,q-value,Enrichment_score,geneID,hyperlink_only_excel
rno05163,Human cytomegalovirus infection,Human Diseases,Infectious disease: viral,15,218,244,9012,0.000837868,0.00890235,2.541359603,Il1b;Cxcr2;Tnfrsf1a;Ccr1l1;Il6r;Il10ra;Ccr3;Ptk2b;E2f2;Eif4ebp1;Tnf;Bid;Rac2;Pik3cd;Ptger2,rno05163
rno05164,Influenza A,Human Diseases,Infectious disease: viral,9,218,168,9012,0.020706273,0.117335546,2.214613368,Il1b;Socs3;Nlrp3;Tnfrsf1a;Myd88;Oas3;Tnf;Bid;Pik3cd,rno05164
rno05165,Human papillomavirus infection,Human Diseases,Infectious disease: viral,8,218,349,9012,0.612924886,0.892323739,0.947609159,Tnfrsf1a;Itgb7;Tnc;Eif4ebp1;Col9a2;Tnf;Pik3cd;Oasl,rno05165
rno05166,Human T-cell leukemia virus 1 infection,Human Diseases,Infectious disease: viral,9,218,246,9012,0.142229406,0.412142029,1.512418886,Il1r2;Tnfrsf1a;Tspo;Relb;E2f2;Tnf;Spi1;Pik3cd;Jak3,rno05166
rno05167,Kaposi sarcoma-associated herpesvirus infection,Human Diseases,Infectious disease: viral,10,218,212,9012,0.033058884,0.15826577,1.949974035,Tnfrsf1a;Ccr1l1;Ccr3;Syk;E2f2;Il6st;Bid;Pik3cd;Cd200r1;Hck,rno05167
rno05168,Herpes simplex virus 1 infection,Human Diseases,Infectious disease: viral,16,218,381,9012,0.022369291,0.118836859,1.736039876,Il1b;Socs3;Tlr2;Tnfrsf1a;Birc3;Cfp;Myd88;Oas3;Tnfsf14;Syk;Eif4ebp1;Tnf;RGD1561730;Bid;Pik3cd;Pou2f2,rno05168
rno05169,Epstein-Barr virus infection,Human Diseases,Infectious disease: viral,11,218,222,9012,0.018921466,0.109658495,2.048351103,Tlr2;Tnfaip3;Myd88;Oas3;Syk;Relb;E2f2;Tnf;Bid;Pik3cd;Jak3,rno05169
rno05170,Human immunodeficiency virus 1 infection,Human Diseases,Infectious disease: viral,10,218,228,9012,0.050061968,0.216369525,1.813133752,Tlr2;Tnfrsf1a;Myd88;Tnfrsf1b;Ptk2b;Samhd1;Tnf;Bid;Rac2;Pik3cd,rno05170
rno05171,Coronavirus disease - COVID-19,Human Diseases,Infectious disease: viral,13,218,286,9012,0.021466993,0.118195244,1.879065888,Il1b;Nlrp3;Tlr2;Selp;Tnfrsf1a;Myd88;Cfd;Oas3;Il6r;Syk;Il6st;Tnf;Pik3cd,rno05171
rno05200,Pathways in cancer,Human Diseases,Cancer: overview,16,218,533,9012,0.218995078,0.52199206,1.240959086,Nos2;Csf3r;Pim1;Mmp9;Birc3;Csf2rb;Il6r;E2f2;Il6st;Rasgrp4;Spi1;Bid;Rac2;Pik3cd;Ptger2;Jak3,rno05200
rno05202,Transcriptional misregulation in cancer,Human Diseases,Cancer: overview,10,218,189,9012,0.016398219,0.097245249,2.187272463,Il1r2;Mmp9;Itgam;Itgb7;Birc3;Fcgr1a;Lyl1;Spi1;Etv4;Cd14,rno05202
rno05203,Viral carcinogenesis,Human Diseases,Cancer: overview,5,218,217,9012,0.607154191,0.892323739,0.952521879,Ccr3;Syk;Il6st;Pik3cd;Jak3,rno05203
rno05204,Chemical carcinogenesis - DNA adducts,Human Diseases,Cancer: overview,1,218,76,9012,0.845710249,0.973659065,0.543940126,Cyp2e1,rno05204
rno05205,Proteoglycans in cancer,Human Diseases,Cancer: overview,7,218,203,9012,0.22107899,0.52199206,1.42549826,Tlr2;Mmp9;Cav3;Hcls1;Tnf;Pik3cd;Ank1,rno05205
rno05206,MicroRNAs in cancer,Human Diseases,Cancer: overview,7,218,164,9012,0.102793044,0.349156497,1.7644887,Cdc25b;Pim1;Mmp9;Tnc;E2f2;Pik3cd;Abcb1b,rno05206
rno05207,Chemical carcinogenesis - receptor activation,Human Diseases,Cancer: overview,2,218,213,9012,0.967319,1,0.388163845,Eif4ebp1;Pik3cd,rno05207
rno05208,Chemical carcinogenesis - reactive oxygen species,Human Diseases,Cancer: overview,6,218,231,9012,0.488562454,0.814270756,1.073751936,Ndufa10l1;Cyp2e1;Ncf1;Ncf2;Pik3cd;Sod2,rno05208
rno05210,Colorectal cancer,Human Diseases,Cancer: specific types,2,218,88,9012,0.632601994,0.893782611,0.939532944,Rac2;Pik3cd,rno05210
rno05211,Renal cell carcinoma,Human Diseases,Cancer: specific types,1,218,69,9012,0.81660515,0.973659065,0.599122457,Pik3cd,rno05211
rno05212,Pancreatic cancer,Human Diseases,Cancer: specific types,3,218,75,9012,0.272328662,0.598653525,1.653577982,E2f2;Rac2;Pik3cd,rno05212
rno05213,Endometrial cancer,Human Diseases,Cancer: specific types,1,218,59,9012,0.765307935,0.973659065,0.700668636,Pik3cd,rno05213
rno05214,Glioma,Human Diseases,Cancer: specific types,2,218,74,9012,0.538046187,0.862831672,1.11728242,E2f2;Pik3cd,rno05214
rno05215,Prostate cancer,Human Diseases,Cancer: specific types,5,218,99,9012,0.091633672,0.329106849,2.087850987,Il1r2;Mmp9;E2f2;Pik3cd;Pdgfd,rno05215
rno05218,Melanoma,Human Diseases,Cancer: specific types,3,218,73,9012,0.259187735,0.579041783,1.698881488,E2f2;Pik3cd;Pdgfd,rno05218
rno05219,Bladder cancer,Human Diseases,Cancer: specific types,2,218,41,9012,0.26113649,0.579041783,2.016558514,Mmp9;E2f2,rno05219
rno05220,Chronic myeloid leukemia,Human Diseases,Cancer: specific types,2,218,78,9012,0.566684649,0.881125522,1.059985886,E2f2;Pik3cd,rno05220
rno05221,Acute myeloid leukemia,Human Diseases,Cancer: specific types,7,218,68,9012,0.001219792,0.011520257,4.25553157,Pim1;Itgam;Fcgr1a;Eif4ebp1;Spi1;Pik3cd;Cd14,rno05221
rno05222,Small cell lung cancer,Human Diseases,Cancer: specific types,4,218,91,9012,0.178124926,0.465554386,1.817118661,Nos2;Birc3;E2f2;Pik3cd,rno05222
rno05223,Non-small cell lung cancer,Human Diseases,Cancer: specific types,3,218,73,9012,0.259187735,0.579041783,1.698881488,E2f2;Pik3cd;Jak3,rno05223
rno05224,Breast cancer,Human Diseases,Cancer: specific types,2,218,148,9012,0.877567906,0.985820929,0.55864121,E2f2;Pik3cd,rno05224
rno05225,Hepatocellular carcinoma,Human Diseases,Cancer: specific types,2,218,177,9012,0.931234702,1,0.467112424,E2f2;Pik3cd,rno05225
rno05226,Gastric cancer,Human Diseases,Cancer: specific types,3,218,150,9012,0.70812328,0.953479677,0.826788991,E2f2;Pik3cd;Abcb1b,rno05226
rno05230,Central carbon metabolism in cancer,Human Diseases,Cancer: overview,3,218,68,9012,0.226773286,0.53052466,1.823799244,Slc16a3;Hk2;Pik3cd,rno05230
rno05231,Choline metabolism in cancer,Human Diseases,Cancer: overview,5,218,98,9012,0.088653571,0.322952295,2.109155589,Was;Eif4ebp1;Rac2;Pik3cd;Pdgfd,rno05231
rno05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,Human Diseases,Cancer: overview,5,218,89,9012,0.064196837,0.251849128,2.322440985,Tlr2;Pdcd1;Batf;Myd88;Pik3cd,rno05235
rno05310,Asthma,Human Diseases,Immune disease,2,218,26,9012,0.129767852,0.389303556,3.179957657,Fcer1g;Tnf,rno05310
rno05320,Autoimmune thyroid disease,Human Diseases,Immune disease,1,218,69,9012,0.81660515,0.973659065,0.599122457,Cd80,rno05320
rno05321,Inflammatory bowel disease,Human Diseases,Immune disease,4,218,61,9012,0.059690546,0.245501438,2.710783576,Il1b;Tlr2;Il18rap;Tnf,rno05321
rno05322,Systemic lupus erythematosus,Human Diseases,Immune disease,3,218,116,9012,0.53555488,0.862831672,1.069123695,Fcgr1a;Tnf;Cd80,rno05322
rno05323,Rheumatoid arthritis,Human Diseases,Immune disease,5,218,86,9012,0.057009922,0.238320165,2.403456369,Il1b;Tlr2;Ltb;Tnf;Cd80,rno05323
rno05330,Allograft rejection,Human Diseases,Immune disease,2,218,60,9012,0.428146165,0.742702531,1.377981651,Tnf;Cd80,rno05330
rno05332,Graft-versus-host disease,Human Diseases,Immune disease,3,218,59,9012,0.170891334,0.453930107,2.102005909,Il1b;Tnf;Cd80,rno05332
rno05340,Primary immunodeficiency,Human Diseases,Immune disease,1,218,36,9012,0.586576278,0.891459877,1.148318043,Jak3,rno05340
rno05410,Hypertrophic cardiomyopathy,Human Diseases,Cardiovascular disease,3,218,91,9012,0.378526541,0.714994578,1.362838996,Itgb7;Tnnc1;Tnf,rno05410
rno05412,Arrhythmogenic right ventricular cardiomyopathy,Human Diseases,Cardiovascular disease,1,218,77,9012,0.849474256,0.973659065,0.536875968,Itgb7,rno05412
rno05414,Dilated cardiomyopathy,Human Diseases,Cardiovascular disease,3,218,94,9012,0.398254131,0.715174672,1.319344134,Itgb7;Tnnc1;Tnf,rno05414
rno05415,Diabetic cardiomyopathy,Human Diseases,Cardiovascular disease,7,218,210,9012,0.246216861,0.560583031,1.377981651,Ncf4;Ndufa10l1;Mmp9;Ncf1;Ncf2;Rac2;Pik3cd,rno05415
rno05416,Viral myocarditis,Human Diseases,Cardiovascular disease,3,218,82,9012,0.318757397,0.671761456,1.512418886,Bid;Rac2;Cd80,rno05416
rno05417,Lipid and atherosclerosis,Human Diseases,Cardiovascular disease,18,218,208,9012,2.67E-06,0.000131087,3.577452364,Il1b;Nlrp3;Ncf4;Tlr2;Mmp9;Sele;Selp;Tnfrsf1a;Myd88;Ncf1;Ncf2;Tnf;Bid;Pik3cd;Sod2;Pou2f2;Tlr6;Cd14,rno05417
rno05418,Fluid shear stress and atherosclerosis,Human Diseases,Cardiovascular disease,11,218,149,9012,0.000956103,0.009752247,3.051905671,Il1b;Il1r2;Mmp9;Sele;Tnfrsf1a;Cav3;Ncf1;Ncf2;Tnf;Rac2;Pik3cd,rno05418
